Unnamed: 0,CustomerID,Genre,Age,Annual Income,Spending Score
4,5.0,,31.0,17.0,40.0
6,7.0,Female,35.0,,6.0
9,10.0,Female,30.0,19.0,72.0
11,12.0,Female,35.0,19.0,99.0
14,15.0,Male,37.0,20.0,13.0
16,17.0,Female,35.0,21.0,35.0
19,20.0,Female,35.0,23.0,98.0
21,22.0,Male,25.0,24.0,73.0
23,24.0,Male,31.0,25.0,73.0
25,26.0,Male,29.0,28.0,82.0
28,29.0,Female,40.0,29.0,31.0
37,38.0,Female,30.0,34.0,73.0
38,39.0,Female,36.0,37.0,26.0
43,44.0,Female,31.0,39.0,
47,48.0,Female,27.0,40.0,47.0
48,49.0,Female,29.0,40.0,42.0
49,50.0,Female,31.0,40.0,42.0
51,52.0,Male,33.0,42.0,60.0
52,53.0,Female,31.0,43.0,54.0
58,59.0,Female,27.0,46.0,51.0
69,70.0,Female,32.0,48.0,47.0
75,76.0,Male,26.0,54.0,54.0
77,78.0,Male,40.0,54.0,48.0
81,82.0,Male,38.0,54.0,55.0
88,89.0,Female,34.0,58.0,60.0
93,94.0,Female,40.0,60.0,40.0
94,95.0,Female,32.0,60.0,42.0
97,98.0,Female,27.0,60.0,50.0
103,104.0,Male,26.0,62.0,
112,113.0,Female,38.0,64.0,42.0
120,121.0,Male,27.0,,56.0
121,122.0,Female,38.0,,40.0
122,123.0,Female,40.0,69.0,58.0
123,124.0,Male,39.0,69.0,
125,126.0,Female,31.0,70.0,77.0
127,128.0,Male,40.0,71.0,95.0
129,,Male,38.0,71.0,75.0
131,132.0,Male,39.0,71.0,75.0
132,133.0,Female,25.0,72.0,34.0
133,134.0,Female,31.0,72.0,71.0
135,136.0,Female,29.0,73.0,88.0
137,138.0,Male,32.0,73.0,73.0
139,140.0,Female,35.0,,72.0
141,142.0,Male,32.0,75.0,93.0
142,143.0,Female,28.0,76.0,40.0
143,144.0,Female,32.0,76.0,87.0
144,145.0,Male,25.0,77.0,12.0
145,146.0,Male,28.0,77.0,97.0
148,149.0,Female,34.0,78.0,22.0
149,150.0,Male,34.0,78.0,90.0
151,152.0,Male,39.0,78.0,88.0
153,154.0,Female,38.0,78.0,
155,156.0,,27.0,78.0,89.0
156,157.0,Male,37.0,78.0,1.0
157,158.0,Female,30.0,78.0,78.0
158,159.0,Male,34.0,78.0,1.0
159,160.0,,30.0,78.0,73.0
161,162.0,Female,29.0,79.0,
163,164.0,Female,31.0,81.0,93.0
165,,Female,36.0,85.0,75.0
167,168.0,,33.0,86.0,95.0
168,169.0,Female,36.0,87.0,27.0
170,171.0,Male,40.0,87.0,13.0
171,172.0,Male,28.0,87.0,75.0
172,173.0,Male,36.0,87.0,10.0
175,176.0,,30.0,88.0,86.0
177,178.0,Male,27.0,88.0,69.0
179,180.0,Male,35.0,93.0,90.0
180,181.0,Female,37.0,97.0,32.0
181,182.0,Female,32.0,97.0,
183,,Female,29.0,98.0,88.0
185,186.0,Male,30.0,99.0,97.0
187,188.0,Male,28.0,,68.0
189,190.0,Female,36.0,103.0,85.0
190,191.0,Female,34.0,103.0,23.0
191,192.0,Female,32.0,103.0,69.0
192,193.0,Male,33.0,113.0,8.0
193,194.0,Female,38.0,,91.0
195,196.0,,35.0,120.0,79.0
197,198.0,Male,32.0,126.0,74.0
198,199.0,Male,32.0,137.0,18.0
199,200.0,Male,30.0,137.0,83.0
