,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,female,group B,bachelor's degree,standard,none,7.2,72,74
1,female,group C,some college,standard,completed,6.9,90,88
2,female,group B,master's degree,standard,none,9.0,95,93
3,male,group A,associate's degree,free/reduced,none,4.7,57,44
4,male,group C,some college,standard,none,7.6,78,75
5,female,group B,associate's degree,standard,none,7.1,83,78
6,female,group B,some college,standard,completed,8.8,95,92
7,male,group B,some college,free/reduced,none,4.0,43,39
8,male,group D,high school,free/reduced,completed,6.4,64,67
9,female,group B,high school,free/reduced,none,3.8,60,50
10,male,group C,associate's degree,standard,none,5.8,54,52
11,male,group D,associate's degree,standard,none,4.0,52,43
12,female,group B,high school,standard,none,6.5,81,73
13,male,group A,some college,standard,completed,7.8,72,70
14,female,group A,master's degree,standard,none,5.0,53,58
15,female,group C,some high school,standard,none,6.9,75,78
16,male,group C,high school,standard,none,8.8,89,86
17,female,group B,some high school,free/reduced,none,1.8,32,28
18,male,group C,master's degree,free/reduced,completed,4.6,42,46
19,female,group C,associate's degree,free/reduced,none,5.4,58,61
20,male,group D,high school,standard,none,6.6,69,63
21,female,group B,some college,free/reduced,completed,6.5,75,70
22,male,group D,some college,standard,none,4.4,54,53
23,female,group C,some high school,standard,none,6.9,73,73
24,male,group D,bachelor's degree,free/reduced,completed,7.4,71,80
25,male,group A,master's degree,free/reduced,none,7.3,74,72
26,male,group B,some college,standard,none,6.9,54,55
27,female,group C,bachelor's degree,standard,none,6.7,69,75
28,male,group C,high school,standard,none,7.0,70,65
29,female,group D,master's degree,standard,none,6.2,70,75
30,female,group D,some college,standard,none,6.9,74,74
31,female,group B,some college,standard,none,6.3,65,61
32,female,group E,master's degree,free/reduced,none,5.6,72,65
33,male,group D,some college,standard,none,4.0,42,38
34,male,group E,some college,standard,none,9.7,87,82
35,male,group E,associate's degree,standard,completed,8.1,81,79
36,female,group D,associate's degree,standard,none,7.4,81,83
37,female,group D,some high school,free/reduced,none,5.0,64,59
38,female,group D,associate's degree,free/reduced,completed,7.5,90,88
39,male,group B,associate's degree,free/reduced,none,5.7,56,57
40,male,group C,associate's degree,free/reduced,none,5.5,61,54
41,female,group C,associate's degree,standard,none,5.8,73,68
42,female,group B,associate's degree,standard,none,5.3,58,65
43,male,group B,some college,free/reduced,completed,5.9,65,66
44,female,group E,associate's degree,free/reduced,none,5.0,56,54
45,male,group B,associate's degree,standard,none,6.5,54,57
46,female,group A,associate's degree,standard,completed,5.5,65,62
47,female,group C,high school,standard,none,6.6,71,76
48,female,group D,associate's degree,free/reduced,completed,5.7,74,76
49,male,group C,high school,standard,completed,8.2,84,82
50,male,group E,some college,standard,none,5.3,55,48
51,male,group E,associate's degree,free/reduced,completed,7.7,69,68
52,male,group C,some college,standard,none,5.3,44,42
53,male,group D,high school,standard,none,8.8,78,75
54,female,group C,some high school,free/reduced,completed,7.1,84,87
55,female,group C,high school,free/reduced,none,3.3,41,43
56,female,group E,associate's degree,standard,completed,8.2,85,86
57,male,group D,associate's degree,standard,none,5.2,55,49
58,male,group D,some college,standard,completed,5.8,59,58
59,female,group C,some high school,free/reduced,none,0.0,17,10
60,male,group E,bachelor's degree,free/reduced,completed,7.9,74,72
61,male,group A,some high school,free/reduced,none,3.9,39,34
62,male,group A,associate's degree,free/reduced,none,6.2,61,55
63,female,group C,associate's degree,standard,none,6.9,80,71
64,female,group D,some high school,standard,none,5.9,58,59
65,male,group B,some high school,standard,none,6.7,64,61
66,male,group D,some high school,free/reduced,none,4.5,37,37
67,female,group C,some college,standard,none,6.0,72,74
68,male,group B,associate's degree,free/reduced,none,6.1,58,56
69,female,group C,associate's degree,standard,none,3.9,64,57
70,female,group D,some college,free/reduced,completed,5.8,63,73
71,male,group D,some college,standard,completed,6.3,55,63
72,female,group A,associate's degree,free/reduced,none,4.1,51,48
73,male,group C,some high school,free/reduced,none,6.1,57,56
74,male,group C,some high school,standard,none,4.9,49,41
75,male,group B,associate's degree,free/reduced,none,4.4,41,38
76,male,group E,some high school,standard,none,3.0,26,22
77,male,group A,bachelor's degree,standard,completed,8.0,78,81
78,female,group D,some high school,standard,completed,6.1,74,72
79,female,group E,master's degree,standard,none,6.2,68,68
80,female,group B,associate's degree,standard,none,4.7,49,50
81,male,group B,high school,free/reduced,none,4.9,45,45
82,male,group A,some college,free/reduced,completed,5.0,47,54
83,male,group E,associate's degree,standard,none,7.2,64,63
84,male,group D,high school,free/reduced,none,4.2,39,34
85,female,group C,some college,standard,none,7.3,80,82
86,female,group C,some college,free/reduced,none,7.6,83,88
87,female,group D,associate's degree,standard,none,7.1,71,74
88,female,group A,some college,standard,none,5.8,70,67
89,female,group D,some high school,standard,none,7.3,86,82
90,female,group C,bachelor's degree,standard,none,6.5,72,74
91,male,group C,high school,free/reduced,none,2.7,34,36
92,male,group C,high school,standard,none,7.1,79,71
93,male,group C,associate's degree,free/reduced,completed,4.3,45,50
94,female,group B,some college,standard,none,7.9,86,92
95,male,group C,associate's degree,free/reduced,completed,7.8,81,82
96,male,group B,some high school,standard,completed,6.5,66,62
97,female,group E,some college,standard,completed,6.3,72,70
98,female,group D,some college,free/reduced,none,5.8,67,62
99,female,group D,bachelor's degree,standard,none,6.5,67,62
100,male,group B,some college,standard,none,7.9,67,67
101,male,group D,bachelor's degree,standard,completed,6.8,74,74
102,female,group D,associate's degree,standard,none,8.5,91,89
103,male,group B,high school,standard,completed,6.0,44,47
104,male,group C,some college,standard,completed,9.8,86,90
105,female,group C,some college,standard,none,5.8,67,72
106,female,group D,master's degree,standard,none,8.7,100,100
107,male,group E,associate's degree,standard,completed,6.6,63,64
108,female,group B,associate's degree,free/reduced,none,5.2,76,70
109,female,group B,some high school,standard,none,7.0,64,72
110,female,group D,associate's degree,free/reduced,completed,7.7,89,98
111,male,group C,high school,standard,none,6.2,55,49
112,male,group A,associate's degree,standard,none,5.4,53,47
113,female,group D,some college,standard,none,5.1,58,54
114,female,group E,bachelor's degree,standard,completed,9.9,100,100
115,male,group C,high school,standard,none,8.4,77,74
116,female,group B,bachelor's degree,free/reduced,none,7.5,85,82
117,female,group D,bachelor's degree,standard,none,7.8,82,79
118,female,group D,some high school,standard,none,5.1,63,61
119,female,group C,some college,standard,none,5.5,69,65
120,female,group C,bachelor's degree,standard,completed,7.9,92,89
121,male,group B,associate's degree,standard,completed,9.1,89,92
122,female,group C,some college,standard,completed,8.8,93,93
123,male,group D,high school,free/reduced,none,6.3,57,56
124,male,group E,some college,standard,none,8.3,80,73
125,female,group B,high school,standard,none,8.7,95,86
126,male,group B,some high school,standard,none,7.2,68,67
127,male,group D,some college,standard,completed,6.5,77,74
128,male,group D,master's degree,standard,none,8.2,82,74
129,female,group A,bachelor's degree,standard,none,5.1,49,51
130,male,group D,master's degree,standard,none,8.9,84,82
131,male,group C,some high school,free/reduced,completed,5.3,37,40
132,male,group E,some college,free/reduced,completed,8.7,74,70
133,female,group C,some college,standard,completed,7.5,81,84
134,male,group D,bachelor's degree,free/reduced,completed,7.4,79,75
135,male,group C,bachelor's degree,standard,none,5.8,55,48
136,male,group B,some high school,standard,completed,5.1,54,41
137,male,group E,high school,standard,none,7.0,55,56
138,female,group C,associate's degree,standard,none,5.9,66,67
139,male,group D,some college,standard,completed,7.1,61,69
140,female,group D,some high school,standard,none,7.6,72,71
141,female,group C,some college,free/reduced,none,5.9,62,64
142,female,group E,some college,free/reduced,completed,4.2,55,54
143,male,group A,high school,standard,none,5.7,43,47
144,male,group D,some college,standard,none,8.8,73,78
145,female,group C,some college,free/reduced,none,2.2,39,33
146,male,group B,some high school,standard,none,8.8,84,75
147,male,group C,associate's degree,free/reduced,none,7.3,68,66
148,female,group D,bachelor's degree,standard,completed,6.8,75,81
149,male,group E,associate's degree,free/reduced,completed,10.0,100,93
150,male,group A,some high school,standard,completed,6.2,67,69
151,male,group A,bachelor's degree,standard,none,7.7,67,68
152,female,group B,associate's degree,standard,completed,5.9,70,66
153,male,group D,bachelor's degree,standard,none,5.4,49,47
154,male,group D,some high school,standard,none,6.2,67,61
155,female,group C,some college,standard,completed,7.0,89,88
156,female,group E,high school,free/reduced,completed,6.6,74,78
157,male,group B,some college,free/reduced,none,6.0,60,60
158,female,group B,associate's degree,standard,completed,6.1,86,87
159,male,group D,associate's degree,free/reduced,none,6.6,62,64
160,male,group B,associate's degree,free/reduced,completed,8.2,78,74
161,female,group E,some college,free/reduced,completed,7.5,88,85
162,male,group B,master's degree,free/reduced,none,4.9,53,52
163,male,group C,high school,standard,none,5.2,53,49
164,female,group E,master's degree,standard,none,8.1,92,91
165,female,group C,bachelor's degree,standard,completed,9.6,100,100
166,male,group C,high school,free/reduced,completed,5.3,51,51
167,female,group B,master's degree,free/reduced,completed,5.8,76,78
168,female,group B,high school,standard,completed,6.8,83,78
169,female,group C,some college,free/reduced,completed,6.7,75,70
170,male,group A,high school,standard,completed,7.2,73,74
171,male,group E,some high school,standard,none,9.4,88,78
172,female,group D,some college,standard,none,7.9,86,81
173,female,group C,associate's degree,standard,none,6.3,67,70
174,female,group C,bachelor's degree,free/reduced,completed,4.3,51,54
175,female,group C,master's degree,standard,completed,8.1,91,87
176,female,group B,high school,free/reduced,completed,4.6,54,58
177,female,group C,associate's degree,standard,completed,7.1,77,77
178,female,group B,master's degree,free/reduced,completed,5.2,70,62
179,female,group D,some high school,standard,completed,9.7,100,100
180,male,group C,master's degree,free/reduced,completed,6.2,68,75
181,female,group C,some college,free/reduced,none,4.6,64,66
182,female,group E,high school,standard,none,5.0,50,47
183,female,group D,associate's degree,standard,none,6.5,69,70
184,male,group C,some high school,free/reduced,completed,4.5,52,49
185,male,group C,associate's degree,free/reduced,completed,6.5,67,65
186,male,group E,high school,standard,none,8.0,76,65
187,male,group D,some high school,standard,completed,6.2,66,68
188,male,group B,some high school,free/reduced,none,4.8,52,45
189,female,group C,bachelor's degree,standard,none,7.7,88,87
190,female,group E,associate's degree,standard,none,6.6,65,69
191,male,group D,some college,standard,completed,7.6,83,79
192,female,group B,some high school,standard,none,6.2,64,66
193,male,group D,some college,standard,completed,7.7,62,62
194,female,group C,master's degree,standard,completed,6.9,84,85
195,male,group D,associate's degree,standard,none,6.1,55,52
196,male,group C,some high school,free/reduced,completed,5.9,69,65
197,male,group E,high school,free/reduced,none,5.5,56,51
198,female,group B,some college,free/reduced,none,4.5,53,55
199,female,group B,bachelor's degree,free/reduced,none,7.8,79,76
200,female,group C,associate's degree,standard,completed,6.7,84,86
201,female,group D,some college,free/reduced,none,6.5,81,77
202,male,group C,associate's degree,standard,none,6.9,77,69
203,female,group B,associate's degree,standard,none,5.7,69,68
204,male,group C,some college,standard,none,5.9,41,42
205,male,group D,some high school,standard,completed,7.4,71,78
206,male,group E,bachelor's degree,standard,none,8.2,62,62
207,male,group E,high school,standard,completed,8.1,80,76
208,female,group B,some college,free/reduced,none,7.4,81,76
209,female,group B,some college,free/reduced,none,5.8,61,66
210,male,group D,some high school,free/reduced,completed,8.0,79,79
211,male,group C,some college,free/reduced,none,3.5,28,27
212,female,group C,high school,free/reduced,none,4.2,62,60
213,male,group C,associate's degree,free/reduced,completed,6.0,51,56
214,male,group E,high school,standard,completed,8.7,91,81
215,male,group B,some high school,standard,completed,8.4,83,75
216,female,group E,associate's degree,free/reduced,completed,8.3,86,88
217,female,group C,high school,free/reduced,none,3.4,42,39
218,male,group B,high school,free/reduced,none,6.6,77,70
219,male,group B,some high school,standard,completed,6.1,56,56
220,female,group D,high school,standard,completed,5.6,68,74
221,male,group B,associate's degree,standard,none,8.7,85,73
222,female,group C,some high school,free/reduced,none,5.5,65,62
223,male,group D,some high school,standard,none,8.6,80,75
224,female,group B,associate's degree,standard,completed,5.2,66,73
225,female,group E,master's degree,free/reduced,none,4.5,56,54
